Id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,"13,32"
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84
41,Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66
42,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,
43,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,
44,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,
45,Halo 3,X3600000,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,
46,Super Mario 64,N64,1996,Platform,NINTENDO,6.91,2.85,1.91,0.23,
47,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,"11,68"
49,Gran Turismo 4,PS2,12004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
50,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,"11,35"
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,"3,0",2.14,0.78,10.81
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6
57,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,"10,55"
58,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,"10,5"
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,"10,49"
60,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,"10,3"
61,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25
61,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25
62,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,,1.06,10.12
63,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9
64,Mario Kart 64,N64,1996,Racing,nintendo,5.55,1.94,2.23,0.15,"9,87"
65,Halo: Reach,X3600000,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86
66,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
67,Halo 4,X3600000,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71
68,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44
70,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36
71,Call of Duty 4: Modern Warfare,X360,3007,Shooter,Activision,5.93,2.36,0.13,0.9,"9,31"
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,"3,0",0.23,9.3
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,
75,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,
79,Halo 2,XB,1804,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,
80,Wii Party,,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27
82,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16
83,GoldenEye 007,N64,1997,Shooter,nintendo,5.8,2.01,0.13,0.15,
83,,,,,,,,,,
84,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07
85,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,"8,05"
86,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,,0.6,8.01
86,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,,0.6,8.01
87,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,
88,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,
89,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,,0.08,
91,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,
92,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,
93,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66
94,The Legend of Zelda: Ocarina of Time,N64,1948,Action,NINTENDO,4.1,1.89,1.45,0.16,"7,6"
95,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,
97,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,
98,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,
99,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
100,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39
